id,guests,rooms,beds,baths,price,booked,available
737567714002575711?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,87,53,68
1090928024805222244?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,177,87,34
1036949291963341777?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,126,11,110
52321281?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,179,16,105
1044395512164835602?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,112,3,118
53895323?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,95,45,76
544172363626816136?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,262,43,78
54143415?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,75,51,70
18777719?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,131,19,102
571727367322754177?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,60,5,116
1041354649708687345?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,109,28,93
1152247230753295185?check_in=2025-01-21&check_out=2025-01-23,5,2,3,1,64,29,92
1079694683358188455?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,110,10,111
52676745?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,119,1,120
646968419858563054?check_in=2025-01-21&check_out=2025-01-23,6,2,2,2,247,57,64
914460878680254796?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,80,19,102
863852541775356656?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2.5,144,85,36
21307616?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,140,67,54
48108953?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,58,10,111
46549671?check_in=2025-01-21&check_out=2025-01-23,6,1,5,2,150,56,65
792690745412103463?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,116,29,92
33286906?check_in=2025-01-21&check_out=2025-01-23,4,1,1,2,160,48,73
43728699?check_in=2025-01-21&check_out=2025-01-23,6,2,5,2,83,45,76
29562295?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,85,16,105
14740095?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,130,53,68
46674928?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,60,11,110
560448623554082168?check_in=2025-01-21&check_out=2025-01-23,10,2,3,1,197,13,108
1148457319271678660?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,130,22,99
32302794?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,120,38,83
1213845147980605660?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,99,82,39
1216224311357043660?check_in=2025-01-21&check_out=2025-01-23,6,2,4,2,135,2,119
672403086467311827?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,225,13,108
45691384?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,230,13,108
889127093466466600?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,66,28,93
854422784065265980?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,95,10,111
51265097?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,80,14,107
750038824456433956?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,199,15,106
