id,guests,rooms,beds,baths,price,booked,available
977920382582957168?check_in=2025-01-21&check_out=2025-01-23,8,2,4,2,209,N/A,121
1113164533390006899?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,50,31,90
17904841?check_in=2025-01-21&check_out=2025-01-23,16+,7,11,4.5,266,79,42
48157231?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,111,49,72
1211493342788535036?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,54,N/A,121
598483634077202426?check_in=2025-01-21&check_out=2025-01-23,16+,4,8,3.5,246,42,79
1218377844110676940?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,119,41,80
1265312691100796480?check_in=2025-01-21&check_out=2025-01-23,10,3,4,3,135,21,100
815938367717852792?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2.5,100,1,120
5306888?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,95,77,44
944152738248653533?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,80,13,108
30742906?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,199,26,95
935362993701541580?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,134,30,91
1047371555399545120?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,74,3,118
1227591509974801125?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,90,24,97
1065977465153906888?check_in=2025-01-21&check_out=2025-01-23,6,3,5,2,126,1,120
35736419?check_in=2025-01-21&check_out=2025-01-23,6,3,2,2,110,N/A,121
53595303?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1.5,101,66,55
33611573?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,219,4,117
1142901953769505128?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,105,24,97
753859364659976822?check_in=2025-01-21&check_out=2025-01-23,6,3,4,1,139,17,104
1213035678653075722?check_in=2025-01-21&check_out=2025-01-23,10,3,5,2,179,50,71
974139343840971468?check_in=2025-01-21&check_out=2025-01-23,2,1,0,1,69,1,120
54180291?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,59,74,47
42423202?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,75,N/A,121
1198588589366857999?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,140,N/A,121
52809537?check_in=2025-01-21&check_out=2025-01-23,6,3,4,1.5,100,41,80
878134017818315820?check_in=2025-01-21&check_out=2025-01-23,6,3,4,3.5,158,17,104
1235719490328993579?check_in=2025-01-21&check_out=2025-01-23,16+,3,4,2,200,15,106
957905368992829506?check_in=2025-01-21&check_out=2025-01-23,6,1,3,1,149,N/A,121
32420168?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,115,28,93
30406596?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2.5,117,N/A,121
738946838707065815?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,88,N/A,121
33168513?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1.5,105,66,55
54178826?check_in=2025-01-21&check_out=2025-01-23,6,2,2,1,78,32,89
724770236617621216?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,70,N/A,121
605174317634731714?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,61,18,103
2228307?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,219,38,83
902371452833284831?check_in=2025-01-21&check_out=2025-01-23,6,3,3,1,139,25,96
1203159649448805196?check_in=2025-01-21&check_out=2025-01-23,11,4,7,3,250,51,70
2221287?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,199,36,85
771249430414664004?check_in=2025-01-21&check_out=2025-01-23,10,3,4,2.5,300,72,49
1018843774618892457?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,145,52,69
949186479902768921?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2.5,110,97,24
909499571965195651?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,192,16,105
1111881431323335689?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,73,N/A,121
594025727501637301?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,73,N/A,121
562536611084198926?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,64,14,107
1056510999780537876?check_in=2025-01-21&check_out=2025-01-23,14,5,7,5,221,31,90
610066445260561729?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,100,N/A,121
937915912103996930?check_in=2025-01-21&check_out=2025-01-23,8,4,5,3,136,39,82
734286036023570401?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,79,7,114
1134234244859820065?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2.5,98,55,66
1151635659560302879?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,165,16,105
866099440735848198?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,75,19,102
1110442652475031330?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,149,13,108
719074606687279365?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,149,36,85
984804257052317888?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,150,5,116
941623769837097047?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,55,18,103
53773154?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,85,15,106
40029227?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,295,5,116
1237030338591026514?check_in=2025-01-21&check_out=2025-01-23,8,4,5,2,120,31,90
50266988?check_in=2025-01-21&check_out=2025-01-23,4,2,3,1,94,56,65
51301729?check_in=2025-01-21&check_out=2025-01-23,8,4,6,3,95,86,35
