id,guests,rooms,beds,baths,price,booked,available
54183892?check_in=2025-01-21&check_out=2025-01-23,8,3,5,2,,,
1089343361705282771?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1.5,,,
43907236?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
937811656915873244?check_in=2025-01-21&check_out=2025-01-23,12,5,5,6.5,,,
22208830?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
38458989?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,,,
53592233?check_in=2025-01-21&check_out=2025-01-23,8,2,4,2,,,
48750488?check_in=2025-01-21&check_out=2025-01-23,6,1,4,1,,,
659506766004823548?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,,,
33743477?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
726661292004331114?check_in=2025-01-21&check_out=2025-01-23,5,2,4,2,,,
641627078773028648?check_in=2025-01-21&check_out=2025-01-23,5,1,3,2,,,
882673736002166893?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
43411710?check_in=2025-01-21&check_out=2025-01-23,8,3,4,3,,,
48765553?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,,,
47451656?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2,,,
1181356680773581127?check_in=2025-01-21&check_out=2025-01-23,6,1,3,1,,,
898015215487692302?check_in=2025-01-21&check_out=2025-01-23,4,1,4,1,,,
36423226?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
30168821?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
613017975901332783?check_in=2025-01-21&check_out=2025-01-23,2,1,1,0,,,
737725794760026774?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,,,
48391184?check_in=2025-01-21&check_out=2025-01-23,8,2,3,2,,,
52528298?check_in=2025-01-21&check_out=2025-01-23,8,3,4,2,,,
40117162?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,,,
50832605?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,,,
1031064543974469843?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,,,
45755096?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,,,
32907621?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1.5,,,
45425247?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
576989337528051108?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
1121769564222602841?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
1112559621716534041?check_in=2025-01-21&check_out=2025-01-23,10,3,7,1.5,,,
972744220389882916?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,,,
7289215?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
1100106689839304309?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,,,
50522002?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,,,
52317949?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
929692591997420534?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,,,
47307580?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,,,
971814815197734058?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,,,
16602607?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,,,
20977909?check_in=2025-01-21&check_out=2025-01-23,4,1,1,2,,,
21975085?check_in=2025-01-21&check_out=2025-01-23,8,4,4,1,,,
1110917728002107994?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
731245555847212555?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
893598755813894191?check_in=2025-01-21&check_out=2025-01-23,8,3,6,2,,,
1059566307749297945?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,,,
48070837?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
