id,guests,rooms,beds,baths,price,booked,available
35124632?check_in=2025-01-21&check_out=2025-01-23,2,1,2,1,75.0,60,61
849234751416654555?check_in=2025-01-21&check_out=2025-01-23,2,1,0,1,85.0,8,113
696984405841936580?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,220.0,19,102
1255698790722910133?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,99.0,4,117
1001014318747932064?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,87.0,5,116
795491282923119112?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,120.0,18,103
49516105?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,155.0,15,106
805232284083540457?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,205.0,30,91
1192006415436375042?check_in=2025-01-21&check_out=2025-01-23,12,4,7,2,242.0,43,78
1035056824857742962?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,124.0,52,69
739913589000352379?check_in=2025-01-21&check_out=2025-01-23,6,1,4,1,88.0,2,119
25783061?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,60.0,11,110
1081157975355801172?check_in=2025-01-21&check_out=2025-01-23,5,1,2,1,137.0,N/A,121
46063394?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,135.0,8,113
1265268207211054532?check_in=2025-01-21&check_out=2025-01-23,16+,6,11,5,730.0,35,86
771687917813036285?check_in=2025-01-21&check_out=2025-01-23,2,1,2,1,100.0,20,101
656357029103076022?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,149.0,23,98
996294665596365931?check_in=2025-01-21&check_out=2025-01-23,12,5,9,4,475.0,42,79
14710144?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,85.0,9,112
13449365?check_in=2025-01-21&check_out=2025-01-23,8,2,4,2,303.0,45,76
734015467958134028?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,100.0,16,105
681040432325929203?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,104.0,12,109
704444579637604157?check_in=2025-01-21&check_out=2025-01-23,16+,7,12,3,333.0,27,94
1259606010484888475?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,53.0,72,49
747252220909435539?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,93.0,N/A,121
17106499?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,156.0,13,108
860404501137924018?check_in=2025-01-21&check_out=2025-01-23,2,0,1,1,56.0,21,100
1236415285101804738?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,125.0,70,51
1084065872844935942?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,147.0,N/A,121
886897291342689398?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,137.0,N/A,121
19246650?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,177.0,27,94
54192684?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,99.0,50,71
571650984884976957?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,110.0,21,100
1036976962973936356?check_in=2025-01-21&check_out=2025-01-23,6,2,2,2,166.0,66,55
967607693569342636?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,203.0,27,94
1267514042563385255?check_in=2025-01-21&check_out=2025-01-23,8,2,3,2,240.0,17,104
28610019?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1.5,303.0,29,92
6837500?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,75.0,43,78
1249996186889215037?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,60.0,34,87
553157475926873244?check_in=2025-01-21&check_out=2025-01-23,8,1,8,1,116.0,21,100
755927821600413737?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,127.0,19,102
33031879?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,178.0,24,97
915445362763116031?check_in=2025-01-21&check_out=2025-01-23,2,1,2,1,230.0,14,107
770231827155715190?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,250.0,44,77
1242228110734568981?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,179.0,41,80
898737566408971552?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,65.0,24,97
804497435801956374?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,169.0,22,99
811054942188324447?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,129.0,48,73
1268137902768005160?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,175.0,5,116
886424615221097304?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,114.0,N/A,121
765213495592551924?check_in=2025-01-21&check_out=2025-01-23,16+,6,9,3,350.0,50,71
930345731496981565?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,184.0,N/A,121
1172681662217731871?check_in=2025-01-21&check_out=2025-01-23,5,2,3,1,130.0,53,68
545702072202654330?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,94.0,5,116
900017237861673312?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,153.0,19,102
1213845147980605660?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,99.0,82,39
1213708340484111122?check_in=2025-01-21&check_out=2025-01-23,7,3,3,2,201.0,40,81
923884848086614299?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,207.0,N/A,121
1109592205302041983?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,90.0,61,60
1086462238979060848?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,83.0,8,113
742591962411356611?check_in=2025-01-21&check_out=2025-01-23,2,1,4,1,110.0,61,60
834853286921095214?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,213.0,7,114
705985065289208092?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,159.0,20,101
678880838685594514?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,124.0,61,60
1250317488121314859?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,199.0,21,100
1218377844110676940?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,119.0,41,80
52855081?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,74.0,66,55
1081964429898055895?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,73.0,29,92
811873617646508251?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,95.0,35,86
28842305?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,100.0,2,119
1081090090608756892?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,137.0,N/A,121
12309978?check_in=2025-01-21&check_out=2025-01-23,N/A,0,2,0,60.0,49,72
920384465315283776?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,109.0,N/A,121
40309302?check_in=2025-01-21&check_out=2025-01-23,8,2,4,1,153.0,35,86
1234958057500697194?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,177.0,41,80
611019788115040262?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,195.0,41,80
1170492745357326348?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,179.0,39,82
616732273207986048?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,210.0,8,113
53721830?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,94.0,51,70
36883318?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,221.0,27,94
1060240905867346376?check_in=2025-01-21&check_out=2025-01-23,12,5,7,2.5,368.0,43,78
1203159649448805196?check_in=2025-01-21&check_out=2025-01-23,11,4,7,3,250.0,51,70
26742184?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,47.0,5,116
36511621?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,140.0,32,89
43833319?check_in=2025-01-21&check_out=2025-01-23,6,1,3,1,116.0,6,115
14430957?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,130.0,58,63
1018864191640903815?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,179.0,14,107
29592742?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,100.0,N/A,121
